bucket,sum_pl_fwd_count,sum_pl_bwd_count,sum_pl_fwd_bytes,sum_pl_bwd_bytes,sum_pl_fwd_flow_count,sum_pl_bwd_flow_count,avg_pl_fwd_count,avg_pl_bwd_count,avg_pl_fwd_bytes,avg_pl_bwd_bytes,sum_pkt_fwd_count,sum_pkt_bwd_count,sum_pkt_fwd_bytes,sum_pkt_bwd_bytes,sum_pkt_fwd_flow_count,sum_pkt_bwd_flow_count,avg_pkt_fwd_count,avg_pkt_bwd_count,avg_pkt_fwd_bytes,avg_pkt_bwd_bytes,bucket_size,label,pl_flow_fwd_bwd_byte_ratio_sum,pl_flow_fwd_bwd_byte_ratio_avg,pkt_flow_fwd_bwd_byte_ratio_sum,pkt_flow_fwd_bwd_byte_ratio_avg,pl_flow_bwd_fwd_byte_ratio,pkt_flow_bwd_fwd_byte_ratio,pl_flow_count_ratio,pkt_flow_count_ratio,pkt_count_ratio,pl_count_ratio
153,50,48,2376,3642,13,13,3.8461538461538463,3.6923076923076925,182.76923076923077,280.15384615384613,58,58,4168,5434,13,13,4.461538461538462,4.461538461538462,320.61538461538464,418.0,13,dns,0.6523887973640856,0.6523887973640857,0.7670224512329775,0.7670224512329776,1.5328282828282829,1.303742802303263,1.0,1.0,0.9830508474576272,0.9411764705882353
154,60,56,2466,5466,16,16,3.75,3.5,154.125,341.625,76,76,4930,7930,16,16,4.75,4.75,308.125,495.625,16,dns,0.45115257958287597,0.45115257958287597,0.6216897856242118,0.6216897856242118,2.21654501216545,1.6085192697768762,1.0,1.0,0.987012987012987,0.9180327868852459
155,50,42,1904,3837,18,18,2.7777777777777777,2.3333333333333335,105.77777777777777,213.16666666666666,82,82,4872,6805,18,18,4.555555555555555,4.555555555555555,270.6666666666667,378.05555555555554,18,dns,0.49622100599426633,0.49622100599426633,0.7159441587068333,0.7159441587068333,2.015231092436975,1.3967569786535303,1.0,1.0,0.9879518072289156,0.8235294117647058
156,56,48,2082,3915,21,21,2.6666666666666665,2.2857142857142856,99.14285714285714,186.42857142857142,88,88,5218,7051,21,21,4.190476190476191,4.190476190476191,248.47619047619048,335.76190476190476,21,dns,0.5318007662835249,0.5318007662835249,0.7400368742022408,0.7400368742022408,1.8804034582132565,1.3512840168646991,1.0,1.0,0.9887640449438202,0.8421052631578947
157,78,74,3202,7516,33,33,2.3636363636363638,2.242424242424242,97.03030303030303,227.75757575757575,94,94,6170,10484,33,33,2.8484848484848486,2.8484848484848486,186.96969696969697,317.6969696969697,33,dns,0.4260244811069718,0.42602448110697183,0.5885158336512781,0.5885158336512781,2.347282948157402,1.6991896272285252,1.0,1.0,0.9894736842105263,0.9367088607594937
158,64,60,2894,6045,20,20,3.2,3.0,144.7,302.25,80,80,5470,8621,20,20,4.0,4.0,273.5,431.05,20,dns,0.47874276261373033,0.47874276261373033,0.6344971581023083,0.6344971581023083,2.088804422944022,1.5760511882998172,1.0,1.0,0.9876543209876543,0.9230769230769231
159,46,36,1556,3568,17,17,2.7058823529411766,2.1176470588235294,91.52941176470588,209.88235294117646,86,86,4804,6816,17,17,5.0588235294117645,5.0588235294117645,282.5882352941176,400.94117647058823,17,dns,0.43609865470852016,0.4360986547085202,0.70481220657277,0.7048122065727699,2.2930591259640103,1.4188176519567028,1.0,1.0,0.9885057471264368,0.7659574468085106
160,74,64,2838,5257,27,27,2.740740740740741,2.3703703703703702,105.11111111111111,194.7037037037037,114,114,6870,9289,27,27,4.222222222222222,4.222222222222222,254.44444444444446,344.037037037037,27,dns,0.5398516264028914,0.5398516264028914,0.7395844547314028,0.7395844547314029,1.8523608174770965,1.3521106259097526,1.0,1.0,0.991304347826087,0.8533333333333334
161,50,38,1812,3069,19,18,2.6315789473684212,2.0,95.36842105263158,161.52631578947367,94,93,5368,6585,19,19,4.947368421052632,4.894736842105263,282.5263157894737,346.57894736842104,19,dns,0.5904203323558163,0.5904203323558163,0.8151860288534548,0.8151860288534549,1.6937086092715232,1.2267138599105811,0.9473684210526315,1.0,0.9789473684210527,0.7450980392156863
162,44,40,1870,3227,13,13,3.3846153846153846,3.076923076923077,143.84615384615384,248.23076923076923,60,60,3886,5243,13,13,4.615384615384615,4.615384615384615,298.9230769230769,403.3076923076923,13,dns,0.5794855903315773,0.5794855903315773,0.7411787144764448,0.7411787144764447,1.7256684491978609,1.3492022645393722,1.0,1.0,0.9836065573770492,0.8888888888888888
163,52,48,2208,5107,19,19,2.736842105263158,2.526315789473684,116.21052631578948,268.7894736842105,68,68,4448,7347,19,19,3.5789473684210527,3.5789473684210527,234.10526315789474,386.6842105263158,19,dns,0.4323477579792442,0.4323477579792442,0.6054171770790799,0.6054171770790799,2.3129528985507246,1.651753597122302,1.0,1.0,0.9855072463768116,0.9056603773584906
164,82,74,3228,12276,27,27,3.037037037037037,2.740740740740741,119.55555555555556,454.6666666666667,114,114,7092,16140,27,27,4.222222222222222,4.222222222222222,262.6666666666667,597.7777777777778,27,dns,0.26295210166177907,0.26295210166177907,0.43940520446096654,0.43940520446096654,3.802973977695167,2.27580372250423,1.0,1.0,0.991304347826087,0.891566265060241
165,60,54,2496,9260,19,19,3.1578947368421053,2.8421052631578947,131.3684210526316,487.36842105263156,84,84,5352,12116,19,19,4.421052631578948,4.421052631578948,281.6842105263158,637.6842105263158,19,dns,0.26954643628509717,0.2695464362850972,0.4417299438758666,0.44172994387586656,3.7099358974358974,2.2638266068759343,1.0,1.0,0.9882352941176471,0.8852459016393442
166,86,78,3260,7906,31,31,2.774193548387097,2.5161290322580645,105.16129032258064,255.03225806451613,118,118,7236,11882,31,31,3.806451612903226,3.806451612903226,233.41935483870967,383.2903225806452,31,dns,0.4123450543890716,0.4123450543890716,0.6089883857936375,0.6089883857936373,2.425153374233129,1.6420674405749032,1.0,1.0,0.9915966386554622,0.896551724137931
167,60,46,2150,4191,22,22,2.727272727272727,2.090909090909091,97.72727272727273,190.5,116,116,6574,8615,22,22,5.2727272727272725,5.2727272727272725,298.8181818181818,391.59090909090907,22,dns,0.5130040563111429,0.513004056311143,0.763087637840975,0.7630876378409751,1.9493023255813953,1.3104654700334653,1.0,1.0,0.9914529914529915,0.7540983606557377
168,52,44,1852,3282,20,20,2.6,2.2,92.6,164.1,84,84,4876,6306,20,20,4.2,4.2,243.8,315.3,20,dns,0.5642900670322973,0.5642900670322973,0.7732318426895021,0.7732318426895021,1.7721382289416847,1.293273174733388,1.0,1.0,0.9882352941176471,0.8301886792452831
169,88,61,2721,5828,36,35,2.4444444444444446,1.6944444444444444,75.58333333333333,161.88888888888889,192,191,10281,13348,36,36,5.333333333333333,5.305555555555555,285.5833333333333,370.77777777777777,36,dns,0.4668840082361016,0.46688400823610154,0.7702277494755768,0.7702277494755768,2.141859610437339,1.2983172843108648,0.9722222222222222,1.0,0.9896373056994818,0.6853932584269663
170,46,34,1588,3051,18,18,2.5555555555555554,1.8888888888888888,88.22222222222223,169.5,94,94,5228,6691,18,18,5.222222222222222,5.222222222222222,290.44444444444446,371.72222222222223,18,dns,0.5204850868567683,0.5204850868567683,0.7813480795097892,0.7813480795097892,1.9212846347607053,1.2798393267023718,1.0,1.0,0.9894736842105263,0.723404255319149
171,184,176,7202,23254,76,76,2.4210526315789473,2.3157894736842106,94.76315789473684,305.9736842105263,216,216,13922,29974,76,76,2.8421052631578947,2.8421052631578947,183.18421052631578,394.39473684210526,76,dns,0.3097101573922766,0.3097101573922766,0.46446920664575964,0.46446920664575964,3.2288253262982507,2.1529952593018247,1.0,1.0,0.9953917050691244,0.9513513513513514
172,210,200,8000,25375,88,88,2.3863636363636362,2.272727272727273,90.9090909090909,288.35227272727275,250,250,15840,33215,88,88,2.840909090909091,2.840909090909091,180.0,377.4431818181818,88,dns,0.31527093596059114,0.3152709359605911,0.476892970043655,0.476892970043655,3.171875,2.0969065656565657,1.0,1.0,0.9960159362549801,0.9478672985781991
173,96,94,4036,10949,39,39,2.4615384615384617,2.41025641025641,103.48717948717949,280.7435897435897,104,104,7116,14029,39,39,2.6666666666666665,2.6666666666666665,182.46153846153845,359.71794871794873,39,dns,0.3686181386427984,0.36861813864279847,0.5072350131869698,0.5072350131869698,2.712834489593657,1.9714727374929735,1.0,1.0,0.9904761904761905,0.9690721649484536
174,92,82,3446,9355,39,39,2.358974358974359,2.1025641025641026,88.35897435897436,239.87179487179486,132,132,7982,13891,39,39,3.3846153846153846,3.3846153846153846,204.66666666666666,356.1794871794872,39,dns,0.36835916622127207,0.36835916622127207,0.5746166582679433,0.5746166582679433,2.7147417295414975,1.7402906539714358,1.0,1.0,0.9924812030075187,0.8817204301075269
175,82,69,3112,6575,31,31,2.6451612903225805,2.225806451612903,100.38709677419355,212.09677419354838,134,134,7956,11419,31,31,4.32258064516129,4.32258064516129,256.64516129032256,368.35483870967744,31,dns,0.47330798479087455,0.47330798479087455,0.6967335143182415,0.6967335143182415,2.1127892030848328,1.4352689793866265,1.0,1.0,0.9925925925925926,0.8313253012048193
176,303,287,12454,32111,92,91,3.2934782608695654,3.119565217391304,135.3695652173913,349.0326086956522,347,341,23082,42571,92,91,3.7717391304347827,3.7065217391304346,250.8913043478261,462.7282608695652,92,dns,0.38784217246426456,0.3878421724642646,0.5422000892626436,0.5422000892626436,2.578368395696162,1.8443375790659389,0.9891304347826086,0.9891304347826086,0.9798850574712644,0.944078947368421
177,698,692,27712,84787,294,294,2.3741496598639458,2.3537414965986394,94.25850340136054,288.39115646258506,722,722,48432,105507,294,294,2.45578231292517,2.45578231292517,164.73469387755102,358.8673469387755,294,dns,0.3268425584110772,0.3268425584110771,0.45904063237510306,0.4590406323751031,3.05957707852194,2.17845639246779,1.0,1.0,0.9986168741355463,0.9899856938483548
178,154,150,6412,18673,44,44,3.5,3.409090909090909,145.72727272727272,424.3863636363636,170,170,11508,23769,44,44,3.8636363636363638,3.8636363636363638,261.54545454545456,540.2045454545455,44,dns,0.3433834948856638,0.3433834948856638,0.48416004038874166,0.4841600403887416,2.9121958827199004,2.065432742440042,1.0,1.0,0.9941520467836257,0.967741935483871
179,118,112,4808,13165,49,49,2.4081632653061225,2.2857142857142856,98.12244897959184,268.6734693877551,142,142,9288,17645,49,49,2.8979591836734695,2.8979591836734695,189.55102040816325,360.1020408163265,49,dns,0.36521078617546526,0.3652107861754652,0.5263814111646359,0.5263814111646359,2.738144758735441,1.8997631352282516,1.0,1.0,0.993006993006993,0.9411764705882353
180,286,274,11680,25255,101,101,2.8316831683168315,2.712871287128713,115.64356435643565,250.04950495049505,350,350,22776,36351,101,101,3.4653465346534653,3.4653465346534653,225.5049504950495,359.91089108910893,101,dns,0.4624826766976836,0.4624826766976836,0.6265577288107618,0.6265577288107618,2.1622431506849313,1.5960221285563752,1.0,1.0,0.9971509971509972,0.9547038327526133
181,164,137,6574,16594,56,54,2.9285714285714284,2.4464285714285716,117.39285714285714,296.32142857142856,216,202,13714,23342,56,54,3.857142857142857,3.607142857142857,244.89285714285714,416.82142857142856,56,dns,0.39616728938170426,0.39616728938170426,0.5875246337074801,0.5875246337074801,2.524186188013386,1.702056292839434,0.9642857142857143,0.9642857142857143,0.9308755760368663,0.8303030303030303
182,184,176,7452,21502,62,62,2.967741935483871,2.838709677419355,120.19354838709677,346.80645161290323,216,216,14172,28222,62,62,3.4838709677419355,3.4838709677419355,228.58064516129033,455.19354838709677,62,dns,0.3465724118686634,0.34657241186866333,0.5021614343420027,0.5021614343420028,2.8853998926462694,1.9913914761501552,1.0,1.0,0.9953917050691244,0.9513513513513514
183,160,140,6184,16543,65,63,2.4615384615384617,2.1538461538461537,95.13846153846154,254.5076923076923,192,180,12232,22255,65,63,2.953846153846154,2.769230769230769,188.1846153846154,342.38461538461536,65,dns,0.37381369763646255,0.37381369763646255,0.5496292967872388,0.5496292967872389,2.67512936610608,1.8194081098757358,0.9692307692307692,0.9692307692307692,0.9326424870466321,0.8695652173913043
184,104,72,3788,9066,43,40,2.4186046511627906,1.6744186046511629,88.09302325581395,210.8372093023256,160,142,9444,14218,43,40,3.7209302325581395,3.302325581395349,219.62790697674419,330.6511627906977,43,dns,0.41782484006176923,0.4178248400617692,0.6642284428189619,0.6642284428189619,2.393347412882788,1.5055061414654807,0.9302325581395349,0.9302325581395349,0.8819875776397516,0.6857142857142857
185,54,34,2388,5806,23,16,2.347826086956522,1.4782608695652173,103.82608695652173,252.43478260869566,54,34,3900,6758,23,16,2.347826086956522,1.4782608695652173,169.56521739130434,293.82608695652175,23,dns,0.41129865656217707,0.411298656562177,0.5770938147380882,0.5770938147380882,2.4313232830820772,1.7328205128205127,0.6956521739130435,0.6956521739130435,0.6181818181818182,0.6181818181818182
