bucket,sum_pl_fwd_count,sum_pl_bwd_count,sum_pl_fwd_bytes,sum_pl_bwd_bytes,sum_pl_fwd_flow_count,sum_pl_bwd_flow_count,avg_pl_fwd_count,avg_pl_bwd_count,avg_pl_fwd_bytes,avg_pl_bwd_bytes,sum_pkt_fwd_count,sum_pkt_bwd_count,sum_pkt_fwd_bytes,sum_pkt_bwd_bytes,sum_pkt_fwd_flow_count,sum_pkt_bwd_flow_count,avg_pkt_fwd_count,avg_pkt_bwd_count,avg_pkt_fwd_bytes,avg_pkt_bwd_bytes,bucket_size,label,pl_flow_fwd_bwd_byte_ratio_sum,pl_flow_fwd_bwd_byte_ratio_avg,pkt_flow_fwd_bwd_byte_ratio_sum,pkt_flow_fwd_bwd_byte_ratio_avg,pl_flow_bwd_fwd_byte_ratio,pkt_flow_bwd_fwd_byte_ratio,pl_flow_count_ratio,pkt_flow_count_ratio,pkt_count_ratio,pl_count_ratio
117,24,22,1102,1232,8,8,3.0,2.75,137.75,154.0,32,32,2166,2296,8,8,4.0,4.0,270.75,287.0,8,dns,0.8944805194805194,0.8944805194805194,0.9433797909407665,0.9433797909407665,1.117967332123412,1.0600184672206834,1.0,1.0,0.9696969696969697,0.88
118,74,62,2704,6037,30,30,2.466666666666667,2.066666666666667,90.13333333333334,201.23333333333332,122,122,7128,10461,30,30,4.066666666666666,4.066666666666666,237.6,348.7,30,dns,0.4479045883717078,0.4479045883717079,0.6813880126182965,0.6813880126182965,2.2326183431952664,1.4675925925925926,1.0,1.0,0.991869918699187,0.8266666666666667
119,56,52,2230,4386,22,22,2.5454545454545454,2.3636363636363638,101.36363636363636,199.36363636363637,72,72,4582,6738,22,22,3.272727272727273,3.272727272727273,208.27272727272728,306.27272727272725,22,dns,0.5084359325125399,0.5084359325125398,0.6800237459186702,0.6800237459186703,1.9668161434977578,1.4705368834570056,1.0,1.0,0.9863013698630136,0.9122807017543859
120,58,44,2000,3180,26,26,2.230769230769231,1.6923076923076923,76.92307692307692,122.3076923076923,114,114,6368,7548,26,26,4.384615384615385,4.384615384615385,244.92307692307693,290.3076923076923,26,dns,0.6289308176100629,0.6289308176100629,0.8436671966083731,0.8436671966083731,1.59,1.1853015075376885,1.0,1.0,0.991304347826087,0.7457627118644068
121,44,38,1688,3047,16,16,2.75,2.375,105.5,190.4375,68,68,4096,5455,16,16,4.25,4.25,256.0,340.9375,16,dns,0.5539875287167706,0.5539875287167706,0.7508707607699359,0.7508707607699359,1.805094786729858,1.331787109375,1.0,1.0,0.9855072463768116,0.8444444444444444
122,78,66,2840,5689,28,28,2.7857142857142856,2.357142857142857,101.42857142857143,203.17857142857142,126,126,7376,10225,28,28,4.5,4.5,263.42857142857144,365.17857142857144,28,dns,0.4992089998242222,0.49920899982422223,0.7213691931540342,0.7213691931540342,2.003169014084507,1.3862527114967462,1.0,1.0,0.9921259842519685,0.8354430379746836
123,58,52,2020,4511,24,24,2.4166666666666665,2.1666666666666665,84.16666666666667,187.95833333333334,82,82,4820,7311,24,24,3.4166666666666665,3.4166666666666665,200.83333333333334,304.625,24,dns,0.4477942806473066,0.4477942806473066,0.6592805361783614,0.6592805361783614,2.233168316831683,1.516804979253112,1.0,1.0,0.9879518072289156,0.8813559322033898
124,64,52,2450,4264,25,25,2.56,2.08,98.0,170.56,112,112,6594,8408,25,25,4.48,4.48,263.76,336.32,25,dns,0.5745778611632271,0.574577861163227,0.7842530922930543,0.7842530922930542,1.7404081632653061,1.2750985744616319,1.0,1.0,0.9911504424778761,0.8
125,72,68,2830,5482,27,27,2.6666666666666665,2.5185185185185186,104.81481481481481,203.03703703703704,88,88,5630,8282,27,27,3.259259259259259,3.259259259259259,208.5185185185185,306.74074074074076,27,dns,0.5162349507479023,0.5162349507479022,0.6797874909442164,0.6797874909442163,1.9371024734982332,1.4710479573712256,1.0,1.0,0.9887640449438202,0.9315068493150684
126,40,31,1462,2367,17,17,2.3529411764705883,1.8235294117647058,86.0,139.23529411764707,76,76,4346,5251,17,17,4.470588235294118,4.470588235294118,255.64705882352942,308.88235294117646,17,dns,0.6176594845796367,0.6176594845796366,0.8276518758331747,0.8276518758331747,1.619015047879617,1.2082374597330878,1.0,1.0,0.987012987012987,0.7560975609756098
