,discord,others,telegram,microsoft_teams,whatsapp,facebook_messenger,signal,total_flows,recall,precision,weighted_precision,f1_score
discord,751,14,9,1,8,7,132,922,81.45,80.24,92.49,86.62
others,1,852,6,1,2,7,6,875,97.37,46.38,75.4,84.99
telegram,123,739,2766,40,42,92,376,4178,66.2,94.5,85.48,74.62
microsoft_teams,47,200,91,1447,2,139,188,2114,68.45,85.27,67.99,68.22
whatsapp,4,7,3,1,979,17,1,1012,96.74,94.5,97.55,97.14
facebook_messenger,8,19,40,12,3,910,285,1277,71.26,77.58,85.41,77.7
signal,2,6,12,195,0,1,434,650,66.77,30.52,54.69,60.13
