,discord,others,telegram,microsoft_teams,whatsapp,facebook_messenger,signal,total_flows,recall,precision,weighted_precision,f1_score
discord,770,0,4,0,6,12,102,894,86.13,99.23,99.65,92.4
others,0,818,5,5,26,5,0,859,95.23,92.43,96.98,96.1
telegram,2,26,3303,28,41,69,264,3733,88.48,98.86,96.92,92.51
microsoft_teams,3,38,21,1175,532,27,162,1958,60.01,96.87,97.1,74.18
whatsapp,1,0,3,3,1002,2,0,1011,99.11,54.66,59.66,74.48
facebook_messenger,0,2,5,2,17,1171,12,1209,96.86,90.01,92.58,94.67
signal,0,1,0,0,209,15,396,621,63.77,42.31,69.68,66.59
