,discord,others,telegram,microsoft_teams,whatsapp,facebook_messenger,signal,total_flows,recall,precision,weighted_precision,f1_score
discord,766,1,7,4,4,5,107,894,85.68,98.33,99.57,92.1
others,0,837,11,4,1,3,3,859,97.44,92.18,96.54,96.99
telegram,12,26,3324,38,0,64,269,3733,89.04,96.52,91.48,90.24
microsoft_teams,1,35,82,1621,1,30,188,1958,82.79,96.43,96.16,88.97
whatsapp,0,0,0,4,1001,2,4,1011,99.01,98.72,98.81,98.91
facebook_messenger,0,7,15,8,7,1160,12,1209,95.95,91.41,94.9,95.42
signal,0,2,5,2,0,5,607,621,97.75,51.01,76.21,85.64
