,discord,others,telegram,microsoft_teams,whatsapp,facebook_messenger,signal,total_flows,recall,precision,weighted_precision,f1_score
discord,236,10,3,13,4,4,8,278,84.89,73.29,82.36,83.61
others,24,423,15,39,11,16,61,589,71.82,83.43,80.07,75.72
telegram,4,4,490,6,9,1,0,514,95.33,90.91,90.48,92.84
microsoft_teams,27,32,17,1456,18,6,20,1576,92.39,92.74,77.24,84.14
whatsapp,15,7,8,13,128,6,8,185,69.19,69.19,88.2,77.55
facebook_messenger,13,22,6,41,13,370,135,600,61.67,84.47,72.32,66.57
signal,3,9,0,2,2,35,173,224,77.23,42.72,65.14,70.67
