,discord,others,telegram,microsoft_teams,whatsapp,facebook_messenger,signal,total_flows,recall,precision,weighted_precision,f1_score
discord,51,53,127,4,6,37,0,278,18.35,13.67,21.85,19.95
others,45,36,419,62,5,22,0,589,6.11,6.33,5.47,5.77
telegram,2,346,132,7,6,21,0,514,25.68,5.5,6.69,10.61
microsoft_teams,40,101,1190,167,2,70,6,1576,10.6,45.63,19.87,13.82
whatsapp,17,15,93,6,30,24,0,185,16.22,60.0,78.4,26.87
facebook_messenger,184,12,290,98,1,15,0,600,2.5,7.5,5.44,3.43
signal,34,6,151,22,0,11,0,224,0.0,0.0,0.0,
