"sip","sport","dip","dport","proto","first_timestamp","pl_fwd_count","pl_len_fwd_total","pl_bwd_count","pl_len_bwd_total","dd","dn","dns","ds","application","app","traffic_type"
"10.0.0.69",8333,"94.237.44.67",41341,6,1639417583047793,36,30386,4,239,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"146.185.139.235",55242,6,1639417589341050,24,1540,8,342,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"144.217.240.89",51198,6,1639417589746359,8,421,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"136.144.237.250",45172,6,1639417601256367,8,421,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",21318,6,1639417620988629,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"184.69.59.134",37290,6,1639417634365083,49,949,23,2791,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"173.212.193.11",43450,6,1639417638425821,8,421,2,154,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"31.162.134.99",62720,6,1639417669237560,3,150,2,126,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"62.234.24.132",34814,6,1639417674466967,8,421,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"77.23.43.39",45904,6,1639417680336348,23,4284,10,1463,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"119.91.82.204",46772,6,1639417680648494,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"23.183.82.222",50828,6,1639417689899135,3,150,2,126,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"94.237.44.67",64729,6,1639417712397678,279,95913,26,1604,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",51045,6,1639417741274521,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"64.227.124.16",60648,6,1639417745323278,8,421,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"66.42.91.236",59252,6,1639417753252801,8,421,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"3.145.3.253",7229,6,1639417763830168,15,509,4,231,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"94.237.44.67",35239,6,1639417776551158,36,30386,4,239,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"3.98.240.70",38046,6,1639417786853914,10,476,2,155,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"194.180.110.11",35337,6,1639417791338641,16,535,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"176.10.99.200",45950,6,1639417801898685,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"94.237.44.67",60571,6,1639417806623466,36,30386,4,239,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"188.166.69.73",57913,6,1639417807270848,14,359,4,213,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"36.189.109.109",36175,6,1639417811803333,75,1730,52,41765,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"185.220.100.253",22338,6,1639417812129705,16,1412,4,174,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"90.119.219.223",50030,6,1639417816202214,46,34554,11,2014,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"13.125.43.217",53349,6,1639417848331004,17,1353,6,219,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",11213,6,1639417861565422,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"78.244.132.5",41572,6,1639417875853050,10,476,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"24.5.51.131",37092,6,1639417883305133,20,1550,15,1464,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"162.218.65.106",63507,6,1639417883523163,16,1412,5,181,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"210.32.147.114",58161,6,1639417898743542,43,30705,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"52.80.165.184",58739,6,1639417912933904,14,359,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"34.93.21.82",59502,6,1639417913216838,53,10983,28,8317,"Unknown","Google","Unknown","Unknown","Google","Unknown","Mining"
"10.0.0.69",8333,"146.185.139.235",39488,6,1639417929035735,22,1508,8,342,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"188.166.69.73",57453,6,1639417936708744,36,30386,4,213,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"192.3.11.20",51406,6,1639417938772577,9,429,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"46.114.38.225",38551,6,1639417959929602,16,391,4,209,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",50576,6,1639417980856608,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"75.159.97.162",49941,6,1639417982153407,19,759,4,209,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"194.180.110.11",47145,6,1639417986755253,17,622,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"91.198.115.10",63654,6,1639417996591992,3,150,2,141,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"91.198.115.10",6424,6,1639417996624079,241,129379,17,427,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"219.148.180.154",50251,6,1639418007587984,16,462,2,128,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"69.10.102.214",39158,6,1639418050954991,75,1506,36,4750,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"85.10.196.57",37944,6,1639418055319681,132,163471,8,1425,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"94.237.44.67",12257,6,1639418078212905,37,30536,4,239,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"95.53.61.146",48282,6,1639418085418165,37,24322,18,19269,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",38123,6,1639418101141183,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"99.247.20.119",11515,6,1639418134273705,49,36071,19,2014,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"95.53.61.146",48548,6,1639418138496919,19,768,4,209,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"194.180.110.11",53903,6,1639418141702527,39,30738,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"3.145.3.253",12359,6,1639418154496947,39,30649,4,231,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"193.196.36.235",58406,6,1639418166289913,10,476,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"52.80.165.184",39567,6,1639418175120564,14,359,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"188.166.69.73",49505,6,1639418182483842,36,30386,4,213,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"209.222.252.151",40617,6,1639418184561258,19,3846,5,203,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"107.189.13.172",35517,6,1639418198807750,23,4212,4,2014,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
