,discord,others,telegram,microsoft_teams,whatsapp,facebook_messenger,signal,total_flows,recall,precision,weighted_precision,f1_score
discord,765,1,7,5,4,6,106,894,85.57,99.35,99.82,92.15
others,0,831,13,8,1,3,3,859,96.74,93.16,96.85,96.79
telegram,4,18,3312,58,0,79,262,3733,88.72,96.31,90.75,89.73
microsoft_teams,1,34,82,1620,0,36,185,1958,82.74,94.74,94.33,88.15
whatsapp,0,0,1,3,1001,2,4,1011,99.01,98.82,98.86,98.93
facebook_messenger,0,6,18,12,7,1160,6,1209,95.95,89.64,93.69,94.81
signal,0,2,6,4,0,8,601,621,96.78,51.5,76.6,85.52
