,discord,others,telegram,microsoft_teams,whatsapp,facebook_messenger,signal,total_flows,recall,precision,weighted_precision,f1_score
discord,126,18,10,64,18,17,25,278,45.32,69.23,68.99,54.71
others,6,309,38,88,2,92,54,589,52.46,62.68,59.31,55.68
telegram,1,84,166,235,15,12,1,514,32.3,42.13,44.59,37.46
microsoft_teams,13,50,115,1273,6,49,70,1576,80.77,69.34,37.41,51.13
whatsapp,33,8,29,42,52,13,8,185,28.11,54.74,72.38,40.49
facebook_messenger,3,18,32,111,1,188,247,600,31.33,45.85,37.77,34.25
signal,0,6,4,23,1,39,151,224,67.41,27.16,49.68,57.2
