,discord,others,telegram,microsoft_teams,whatsapp,facebook_messenger,signal,total_flows,recall,precision,weighted_precision,f1_score
discord,233,8,3,15,10,2,7,278,83.81,77.41,84.35,84.08
others,16,437,22,20,10,10,74,589,74.19,86.19,82.03,77.92
telegram,3,7,489,6,6,3,0,514,95.14,91.57,91.36,93.21
microsoft_teams,22,24,9,1485,13,10,13,1576,94.23,93.99,79.95,86.5
whatsapp,17,9,4,11,126,7,11,185,68.11,72.83,88.77,77.08
facebook_messenger,10,15,6,41,8,346,174,600,57.67,85.22,74.33,64.95
signal,0,7,1,2,0,28,186,224,83.04,40.0,62.02,71.0
