,discord,others,telegram,microsoft_teams,whatsapp,facebook_messenger,signal,total_flows,recall,precision,weighted_precision,f1_score
discord,760,0,13,8,0,0,113,894,85.01,97.69,99.15,91.54
others,1,813,9,29,1,6,0,859,94.64,89.74,95.57,95.1
telegram,12,33,3299,58,0,17,314,3733,88.37,94.69,86.84,87.6
microsoft_teams,4,47,95,1606,0,23,183,1958,82.02,92.67,90.48,86.04
whatsapp,0,2,16,5,985,2,1,1011,97.43,99.9,99.88,98.64
facebook_messenger,1,11,50,26,0,887,234,1209,73.37,94.76,96.47,83.35
signal,0,0,2,1,0,1,617,621,99.36,42.2,66.59,79.74
